This sheet brings together all the data and decides on the classification,,,,,,Min_class=,20,arcsec,Guard-band,5,arcsec,,,,,,,,,
name,validity flag,Comment,A,B,C,PA,RA centroid,Dec centroid,Class,ra_wise,dec_wise,ra_des,dec_des,MAG_AUTO,RA_desi,DEC_desi,photo_z,L_{888},ABS_MAG,flux
J201235.7-580341,4,fr2,51.7,72.4482,21.9939,356.86365,303.1477847,-58.06227961,FR2,303.1488887,-58.0612624,303.148909,-58.061301,17.2752,0,0,0,0,0,0.001004392
J201243.5-533759,4,frx,31.63,55.5564,24.982,32.098927,303.1805678,-53.63209353,FR2,303.1811118,-53.6329281,303.180845,-53.632875,20.8224,303.1808378,-53.63287353,0.66742814,2.33E+25,-22.2612497,0.021521994
J201247.9-620531,1,frx,17.08800749,32.04598392,15.45320636,111.3623979,303.1988223,-62.09197196,FRx,303.1994053,-62.0918853,0,0,0,0,0,0,0,0,0.001859061
J201252.8-495003,4,frx,21.3,38.7394,17.483,65.97348,303.2207076,-49.83524989,FRx,303.2198258,-49.8341082,303.21975,-49.834166,18.9621,0,0,0,0,0,0
J201254.5-593358,1,djs,0,43.89991206,25.18625723,84.29007483,303.2274117,-59.56652456,SINGLE,303.2268895,-59.5660566,303.226763,-59.566067,22.8731,303.2267276,-59.56604646,0.96461844,0,0,0.008343595
J201258.4-505251,4,fr2 enormous BT/GRG?  ID OK,255.6,282.309,67.2156,89.0906,303.2306877,-50.87323935,FR2,303.2431902,-50.8807957,303.243138,-50.880758,18.0118,303.243103,-50.88073999,0.33318204,1E+25,-23.27556253,0.024781961
J201259.7-530812,4,frx,17.4,47.3125,29.9219,0,303.2495821,-53.13598865,FR1,303.248924,-53.1365882,303.249306,-53.136556,21.0562,303.2493007,-53.13654905,0.55960643,1.85E+25,-21.56410457,0.012086167
J201302.4-504841,1,djs,0,36.38404283,18.45817786,63.95095885,303.2592627,-50.8118713,SINGLE,303.2599096,-50.8114984,303.25988,-50.811461,20.3817,303.2598816,-50.8114532,0.6368039,0,0,0.004364647
J201259.6-485405,4,fr2+background source?,100.2,130.831,34.4768,86.54916,303.2516058,-48.90085406,FR2,303.2484572,-48.9012832,0,0,0,0,0,0,0,0,0.05439758
J201305.9-603811,0,complex: line of 4 blobs. Cant tell if its an FR or background sources,0,0,0,0,0,0,NA,303.2745148,-60.6363197,0,0,0,0,0,0,0,0,0.003288236
J201310.3-511255,0,maybe 2 background sources,0,0,0,0,0,0,NA,303.2930064,-51.2154042,303.293047,-51.215814,23.4224,0,0,0,0,0,0.0006921
J201310.9-593815,1,fr2,34.05877273,68.6698077,34.50696553,43.68329088,303.294216,-59.63897886,FRx,303.2955529,-59.637565,303.295579,-59.63755,21.544,303.295582,-59.63754688,0.8296748,0,0,0.047109521
J201311.8-512424,1,fr2,48.16637832,77.66732614,26.4242846,51.12357429,303.3043968,-51.40359667,FR2,303.2990218,-51.4065746,303.299032,-51.406594,18.5367,303.2990313,-51.4065978,0.28666997,0,0,0.012017613
J201314.8-534149,1,frx,18.86796226,46.98519131,27.53474116,62.91068549,303.3127031,-53.69638428,FR1,303.3117863,-53.696893,303.312019,-53.696603,24.9258,0,0,0,0,0,0.025163299
J201325.5-600128,1,frx,30.52867504,66.92450751,41.86241549,36.93260568,303.3584135,-60.02388974,FR1,303.3563704,-60.0244509,303.356543,-60.024547,21.9291,0,0,0,0,0,0.218967604
J201328.5-603031,4,almost a hymors,56.7,86.6282,26.2764,330.59552,303.3712253,-60.50901803,FR2,303.3688232,-60.50869,0,0,0,0,0,0,0,0,0.002415708
J201335.0-604723,4,triple fr2,62.4,87.4167,22.1496,103.785855,303.3941826,-60.7898181,FR2,303.3957894,-60.7896922,0,0,0,0,0,0,0,0,0.007517187
J201344.6-534339,4,BT,51.2,83.6084,34.6865,336.87622,303.438356,-53.72532791,FR2,303.43596,-53.7275483,303.43594,-53.727545,18.7311,303.4359454,-53.72754324,0.33809543,0,0,0.004542725
J201350.2-591056,3,fr2,70.2,88.36278899,23.28085945,3.500608526,303.4585806,-59.18014174,FR2,303.4593553,-59.1821432,303.459318,-59.182352,25.2163,303.4644823,-59.18144199,0,0,0,0.005437914
J201350.7-583121,1,fr2,33.10589071,59.94187095,30.90597654,150.3090362,303.4629416,-58.52381718,FR2,303.4610672,-58.5226167,303.461024,-58.52256,20.1588,303.4610186,-58.52256197,0.57008,2.46E+25,-22.51005218,0.015203342
J201352.2-601443,0,irreg: confused collection of blobs,0,0,0,0,0,0,NA,303.4675268,-60.2451755,303.467516,-60.245195,20.0146,0,0,0,0,0,0.003011169
J201353.4-505643,1,core with one jet,0,17.99712328,12.86604155,88.0935557,303.4726912,-50.94529918,SINGLE,303.4723675,-50.9451717,303.472379,-50.945208,16.9627,303.4725194,-50.94519691,0.14366016,0,0,0.000856068
J201354.6-575804,1,single peak with two jets,0,47.82487629,18.62040155,44.68442306,303.478803,-57.96754852,SINGLE,303.4773587,-57.9676761,303.477489,-57.967776,24.4108,303.4732162,-57.96928868,0,0,0,0.002795182
J201359.6-483754,4,fr2,44.8,63.967,18.1045,73.11966,303.4997083,-48.63140489,FR2,303.49854,-48.6316278,0,0,0,0,0,0,0,0,0.00035876
J201402.7-622548,1,fr2,59.22837158,81.27177995,29.43296368,12.1170031,303.5110634,-62.43156699,FR2,303.5113335,-62.4299575,303.511374,-62.429921,17.8593,303.5113754,-62.42993028,0.2717539,2.41E+24,-22.91849476,0.00723564
J201412.4-615651,1,fr2,40,81.28663092,41.81708069,82.80671238,303.552796,-61.94710322,FRx,303.5517112,-61.947372,303.551666,-61.947373,22.159,0,0,0,0,0,0.025745147
J201414.2-502043,1,fr2,52.34500931,84.45624415,31.24899745,47.00631987,303.5598179,-50.34565669,FR2,303.5589828,-50.3451638,303.559005,-50.345147,22.9783,303.5590187,-50.34514529,0.9289091,3.2E+26,-20.98429972,0.05451365
J201417.0-613219,3,frx,14.3,36.93769503,22.03791762,34.85287736,303.5701469,-61.53871868,FR1,303.5708934,-61.5385854,303.570616,-61.538368,21.9255,303.5706095,-61.53837549,0.6192358,0,0,0.007274624
J201419.4-575702,1,single peak with curved jets,0,43.06195519,29.3691755,168.0458045,303.5814609,-57.95212405,SINGLE,303.5806621,-57.9504588,303.58077,-57.950454,20.9154,303.5808058,-57.95044032,0.6970962,0,0,0.013857881
J201420.2-482357,1,single peak with jets,0,21.98139113,14.93478016,81.19059354,303.5834157,-48.39925885,SINGLE,303.5841221,-48.3991775,0,0,0,0,0,0,0,0,0.001482864
J201421.0-622059,1,frx,20.88061302,52.96993484,36.56293589,137.538947,303.5877777,-62.34967321,FR1,303.5874423,-62.3496283,303.587625,-62.349693,18.8362,303.5876247,-62.349699,0.38958567,1.31E+25,-22.84783062,0.021684756
J201424.1-495358,1,frx,26.90724809,50.18764657,23.6835475,49.71655302,303.596398,-49.90131545,FRx,303.6002497,-49.8993782,303.600326,-49.899384,22.8315,0,0,0,0,0,0.013969874
